Identifiant station,Nom station,Station en fonctionnement,CapacitÃ© de la station,Nombre bornettes libres,Nombre total vÃ©los disponibles,VÃ©los mÃ©caniques disponibles,VÃ©los Ã©lectriques disponibles,Borne de paiement disponible,Retour vÃ©lib possible,Actualisation de la donnÃ©e,CoordonnÃ©es gÃ©ographiques,Nom communes Ã©quipÃ©es,Code INSEE communes Ã©quipÃ©es,station_velib_plus,geometry,Latitude,Longitude,arrondissement,quartier
41402,Victor Hugo - Ecoles,OUI,25,13,11,10,1,OUI,OUI,2023-06-05T08:30:40+02:00,"48.80476007936134, 2.4180373930262093",Alfortville,,FALSE,,48.80476007936134,2.4180373930262093,Banlieue,Banlieue
22006,Pierret - Madrid,OUI,28,0,26,11,15,OUI,OUI,2023-06-05T08:28:26+02:00,"48.882976576876565, 2.260125767248034",Neuilly-sur-Seine,,FALSE,,48.882976576876565,2.260125767248034,Banlieue,Banlieue
43003,HÃ´pital BÃ©gin,OUI,26,16,8,5,3,OUI,OUI,2023-06-05T08:25:45+02:00,"48.84571672113014, 2.4272462725639348",Vincennes,,FALSE,,48.84571672113014,2.4272462725639348,Banlieue,Banlieue
17028,Reims - Raymond Pitet,OUI,37,31,6,0,6,OUI,OUI,2023-06-05T08:30:00+02:00,"48.8888, 2.296319",Paris,,FALSE,,48.8888,2.296319,17ème Ardt,Plaine de Monceaux
7005,Raspail - Bac,OUI,52,27,24,22,2,OUI,OUI,2023-06-05T08:30:53+02:00,"48.855628721101, 2.3256602883339",Paris,,FALSE,,48.855628721101,2.3256602883339,7ème Ardt,Saint-Thomas-d'Aquin
21301,Saint-Vincent - Verdun,OUI,34,10,22,19,3,OUI,OUI,2023-06-05T08:30:58+02:00,"48.819211549234495, 2.254007756710053",Issy-les-Moulineaux,,FALSE,,48.819211549234495,2.254007756710053,Banlieue,Banlieue
11036,Jules Ferry - Faubourg du Temple Paris,OUI,58,53,2,0,2,OUI,OUI,2023-06-05T08:30:10+02:00,"48.868397, 2.3678933",Paris,,FALSE,,48.868397,2.3678933,11ème Ardt,Folie-Méricourt
42302,Aristide Briand - Gare de Bagneux,OUI,22,16,6,1,5,OUI,OUI,2023-06-05T08:30:35+02:00,"48.79387269664978, 2.321148812770844",Cachan,,FALSE,,48.79387269664978,2.321148812770844,Banlieue,Banlieue
12009,Charenton - Diderot,OUI,18,3,13,11,2,OUI,OUI,2023-06-05T08:30:57+02:00,"48.846171461187, 2.3793068155646",Paris,,FALSE,,48.846171461187,2.3793068155646,12ème Ardt,Quinze-Vingts
1002,Victoria - Place du Chatelet,OUI,22,11,10,9,1,OUI,OUI,2023-06-05T08:29:42+02:00,"48.857992591527, 2.3469167947769",Paris,,FALSE,,48.857992591527,2.3469167947769,1er Ardt,Saint-Germain-l'Auxerrois
14036,Boulard - Daguerre,OUI,45,43,2,1,1,OUI,OUI,2023-06-05T08:23:54+02:00,"48.83446472680611, 2.3293386027216907",Paris,,FALSE,,48.83446472680611,2.3293386027216907,14ème Ardt,Montparnasse
19029,Seine - Flandre,OUI,19,17,1,0,1,OUI,OUI,2023-06-05T08:30:54+02:00,"48.886785741479684, 2.3746193200349808",Paris,,FALSE,,48.886785741479684,2.3746193200349808,19ème Ardt,Villette
18201,Tristan Tzara -  TchaÃ¯kovski,OUI,33,26,5,5,0,OUI,OUI,2023-06-05T08:30:32+02:00,"48.89490221746837, 2.3648490384221077",Paris,,FALSE,,48.89490221746837,2.3648490384221077,18ème Ardt,La Chapelle
9032,Mathurins - Auber,OUI,36,4,32,16,16,OUI,OUI,2023-06-05T08:30:13+02:00,"48.872988840744, 2.3294984212276",Paris,,FALSE,,48.872988840744,2.3294984212276,9ème Ardt,Chaussée-d'Antin
32303,Gaston Roussel - Commune de Paris,OUI,30,14,16,8,8,OUI,OUI,2023-06-05T08:30:34+02:00,"48.89432034553156, 2.432552274419542",Romainville,,FALSE,,48.89432034553156,2.432552274419542,Banlieue,Banlieue
15013,Volontaire - Lecourbe,OUI,31,25,5,2,3,OUI,OUI,2023-06-05T08:30:40+02:00,"48.8435137879902, 2.3065522313117985",Paris,,FALSE,,48.8435137879902,2.3065522313117985,15ème Ardt,Necker
12115,Porte de Vincennes,OUI,33,28,5,2,3,OUI,OUI,2023-06-05T08:26:40+02:00,"48.846454, 2.415514",Paris,,FALSE,,48.846454,2.415514,12ème Ardt,Bel-Air
19013,LaumiÃ¨re - Petit,OUI,34,31,2,0,2,OUI,OUI,2023-06-05T08:29:58+02:00,"48.88467368538326, 2.380039058625698",Paris,,FALSE,,48.88467368538326,2.380039058625698,19ème Ardt,Combat
6013,Jacques Callot - Mazarine,OUI,28,19,6,2,4,OUI,OUI,2023-06-05T08:30:38+02:00,"48.85528017533187, 2.337574325501919",Paris,,FALSE,,48.85528017533187,2.337574325501919,6ème Ardt,Monnaie
26013,Quai du docteur Dervaux,OUI,26,11,15,8,7,OUI,OUI,2023-06-05T08:30:53+02:00,"48.910482, 2.297998",AsniÃ¨res-sur-Seine,,FALSE,,48.910482,2.297998,Banlieue,Banlieue
28001,Richard Wallace - Place du 8 Mai 1945,OUI,30,15,12,9,3,OUI,OUI,2023-06-05T08:29:54+02:00,"48.87866794788021, 2.2420343756675725",Puteaux,,FALSE,,48.87866794788021,2.2420343756675725,Banlieue,Banlieue
42015,Place Jean Ferrat,OUI,25,23,2,1,1,OUI,OUI,2023-06-05T08:24:36+02:00,"48.8184945213025, 2.3744174838066106",Ivry-sur-Seine,,FALSE,,48.8184945213025,2.3744174838066106,Banlieue,Banlieue
17102,Alfred Roll - Berthier,OUI,28,27,1,1,0,OUI,OUI,2023-06-05T08:30:46+02:00,"48.88780857052871, 2.30009529817631",Paris,,FALSE,,48.88780857052871,2.30009529817631,17ème Ardt,Plaine de Monceaux
31010,Stalingrad - DÃ©sirÃ© Chevalier,OUI,42,40,1,0,1,OUI,OUI,2023-06-05T08:30:27+02:00,"48.85670169739857, 2.445072233676911",Montreuil,,FALSE,,48.85670169739857,2.445072233676911,Banlieue,Banlieue
15025,Dupleix - du Guesclin,OUI,47,29,17,15,2,OUI,OUI,2023-06-05T08:30:55+02:00,"48.85147910413369, 2.296709530055523",Paris,,FALSE,,48.85147910413369,2.296709530055523,15ème Ardt,Grenelle
5006,Saint-Jacques - Soufflot,OUI,0,0,0,0,0,NON,NON,2018-06-06T08:42:14+02:00,"48.8465255, 2.343099",Paris,,FALSE,,48.8465255,2.343099,5ème Ardt,Sorbonne
7015,Varenne,OUI,47,12,33,27,6,OUI,OUI,2023-06-05T08:30:28+02:00,"48.857202661803, 2.3152771219611",Paris,,FALSE,,48.857202661803,2.3152771219611,7ème Ardt,Invalides
92008,HÃ´tel de Ville de Nanterre,OUI,38,21,14,5,9,OUI,OUI,2023-06-05T08:29:03+02:00,"48.892371898250424, 2.205548956990242",Nanterre,,FALSE,,48.892371898250424,2.205548956990242,Banlieue,Banlieue
17011,Fragonard - Porte de Clichy,OUI,56,46,10,10,0,OUI,OUI,2023-06-05T08:30:58+02:00,"48.894155633419, 2.3143893107772",Paris,,FALSE,,48.894155633419,2.3143893107772,17ème Ardt,Epinettes
11004,Charonne - Faubourg Saint-Antoine,OUI,34,23,8,6,2,OUI,OUI,2023-06-05T08:28:25+02:00,"48.852191909696, 2.3740932717919",Paris,,FALSE,,48.852191909696,2.3740932717919,11ème Ardt,Sainte-Marguerite
33018,Edouard Poisson - Victor Hugo,OUI,30,20,8,6,2,OUI,OUI,2023-06-05T08:30:14+02:00,"48.91118557052621, 2.379864752692811",Aubervilliers,,FALSE,,48.91118557052621,2.379864752692811,Banlieue,Banlieue
18012,Stephenson - Doudeauville,OUI,36,34,0,0,0,OUI,OUI,2023-06-05T08:29:48+02:00,"48.888537048944826, 2.3561610281467438",Paris,,FALSE,,48.888537048944826,2.3561610281467438,18ème Ardt,Goutte-d'Or
11009,Boulets - Voltaire,OUI,24,11,13,12,1,OUI,OUI,2023-06-05T08:30:02+02:00,"48.85218705621, 2.3890301585197",Paris,,FALSE,,48.85218705621,2.3890301585197,11ème Ardt,Sainte-Marguerite
19125,Place de l'Ã‰dit de Nantes,OUI,30,29,0,0,0,OUI,OUI,2023-06-05T08:25:39+02:00,"48.88879, 2.3785",Paris,,FALSE,,48.88879,2.3785,19ème Ardt,Villette
14117,Gare Montparnasse - RenÃ© Mouchotte,OUI,39,31,6,0,6,OUI,OUI,2023-06-05T08:30:47+02:00,"48.83920384329242, 2.320883944630623",Paris,,FALSE,,48.83920384329242,2.320883944630623,14ème Ardt,Plaisance
9021,Saint Georges - d'Aumale,OUI,23,23,0,0,0,OUI,OUI,2023-06-05T08:29:53+02:00,"48.87778639599673, 2.337429821491241",Paris,,FALSE,,48.87778639599673,2.337429821491241,9ème Ardt,Saint-Georges
23001,Paul Vaillant Couturier - Chaptal,OUI,39,0,38,22,16,OUI,OUI,2023-06-05T08:30:50+02:00,"48.89347957618252, 2.277525365352631",Levallois-Perret,,FALSE,,48.89347957618252,2.277525365352631,Banlieue,Banlieue
23009,Anatole France - Louise Michel,OUI,50,36,14,8,6,OUI,OUI,2023-06-05T08:30:21+02:00,"48.88873214926474, 2.2881576418876652",Levallois-Perret,,FALSE,,48.88873214926474,2.2881576418876652,Banlieue,Banlieue
17037,Bayen - Pereire,OUI,22,17,3,0,3,OUI,OUI,2023-06-05T08:26:54+02:00,"48.881804409079656, 2.2921088710427284",Paris,,FALSE,,48.881804409079656,2.2921088710427284,17ème Ardt,Ternes
12027,Montgallet - Charenton,OUI,16,14,1,1,0,OUI,OUI,2023-06-05T08:30:27+02:00,"48.842647778701, 2.3861649278137",Paris,,FALSE,,48.842647778701,2.3861649278137,12ème Ardt,Picpus
17042,Porte Maillot - Pereire,OUI,0,0,0,0,0,NON,NON,2018-05-21T07:31:42+02:00,"48.877775, 2.284444",Paris,,FALSE,,48.877775,2.284444,17ème Ardt,Ternes
42029,Stalingrad - Germaine Tailleferre,OUI,28,20,8,4,4,OUI,OUI,2023-06-05T08:28:04+02:00,"48.80257200481316, 2.3786691203713417",Ivry-sur-Seine,,FALSE,,48.80257200481316,2.3786691203713417,Banlieue,Banlieue
11102,Alexandre Dumas - Voltaire,OUI,59,33,23,20,3,OUI,OUI,2023-06-05T08:30:47+02:00,"48.852888670365, 2.3891476408096",Paris,,FALSE,,48.852888670365,2.3891476408096,11ème Ardt,Sainte-Marguerite
8035,Bienfaisance - Place de Narvik,OUI,36,0,36,12,24,OUI,OUI,2023-06-05T08:29:53+02:00,"48.87660163459077, 2.3129771277308464",Paris,,FALSE,,48.87660163459077,2.3129771277308464,8ème Ardt,Europe
33003,Bordier - FÃ©lix Faure,OUI,48,39,7,4,3,OUI,OUI,2023-06-05T08:30:32+02:00,"48.90390751882016, 2.3830059170722966",Aubervilliers,,FALSE,,48.90390751882016,2.3830059170722966,Banlieue,Banlieue
21313,Guynemer - SÃ©verine,OUI,26,1,25,20,5,OUI,OUI,2023-06-05T08:28:28+02:00,"48.83091743371036, 2.2790706530213356",Issy-les-Moulineaux,,FALSE,,48.83091743371036,2.2790706530213356,Banlieue,Banlieue
33009,FÃ©lix Faure - Sadi Carnot,OUI,33,18,13,4,9,OUI,OUI,2023-06-05T08:30:22+02:00,"48.90812110228388, 2.378623187541962",Aubervilliers,,FALSE,,48.90812110228388,2.378623187541962,Banlieue,Banlieue
26007,Square Gilbert Thomain,OUI,20,18,2,2,0,OUI,OUI,2023-06-05T08:28:33+02:00,"48.90717373809284, 2.2695400938391685",AsniÃ¨res-sur-Seine,,FALSE,,48.90717373809284,2.2695400938391685,Banlieue,Banlieue
25005,18 juin 1940 - Buzenval,OUI,25,19,4,1,3,OUI,OUI,2023-06-05T08:28:58+02:00,"48.868807, 2.185428",Rueil-Malmaison,,FALSE,,48.868807,2.185428,Banlieue,Banlieue
16111,Faustin HÃ©lie - Desbordes-Valmore,OUI,33,30,2,1,1,OUI,OUI,2023-06-05T08:30:04+02:00,"48.859403, 2.276522",Paris,,FALSE,,48.859403,2.276522,16ème Ardt,Muette
19115,Porte de la Villette,OUI,27,21,5,2,3,OUI,OUI,2023-06-05T08:25:17+02:00,"48.89835196548483, 2.386150136590004",Paris,,FALSE,,48.89835196548483,2.386150136590004,19ème Ardt,Pont-de-Flandre
19005,Flandre - Riquet,OUI,21,16,4,1,3,OUI,OUI,2023-06-05T08:29:28+02:00,"48.888013281448, 2.3737595955229",Paris,,FALSE,,48.888013281448,2.3737595955229,19ème Ardt,Villette
33001,Victor Hugo - Magasins GÃ©nÃ©raux,OUI,34,1,32,21,11,OUI,OUI,2023-06-05T08:29:38+02:00,"48.903281401126755, 2.368072383105755",Aubervilliers,,FALSE,,48.903281401126755,2.368072383105755,Banlieue,Banlieue
11007,Jean MacÃ© - Faidherbe,OUI,63,56,5,5,0,OUI,OUI,2023-06-05T08:29:17+02:00,"48.85337548426, 2.3828620836139",Paris,,FALSE,,48.85337548426,2.3828620836139,11ème Ardt,Sainte-Marguerite
20132,RÃ©union - Avron,OUI,26,26,0,0,0,OUI,OUI,2023-06-05T08:30:54+02:00,"48.852566752033766, 2.403928068708116",Paris,,FALSE,,48.852566752033766,2.403928068708116,20ème Ardt,Charonne
35018,Ancien Canal - HÃ©lÃ¨ne Brion,OUI,23,21,2,1,1,OUI,OUI,2023-06-05T08:29:00+02:00,"48.89484799296163, 2.4188338592648506",Pantin,,FALSE,,48.89484799296163,2.4188338592648506,Banlieue,Banlieue
5114,Claude Bernard - ArbalÃ¨te,OUI,17,11,4,3,1,OUI,OUI,2023-06-05T08:29:52+02:00,"48.83976676978202, 2.347510904073715",Paris,,FALSE,,48.83976676978202,2.347510904073715,5ème Ardt,Val-de-Grace
18110,Departement - Pajol,OUI,19,18,0,0,0,OUI,OUI,2023-06-05T08:29:31+02:00,"48.886674849730184, 2.3613611608743668",Paris,,FALSE,,48.886674849730184,2.3613611608743668,18ème Ardt,La Chapelle
19019,Petit - Manin,OUI,22,21,1,0,1,OUI,OUI,2023-06-05T08:29:58+02:00,"48.88650687534334, 2.3938155401308374",Paris,,FALSE,,48.88650687534334,2.3938155401308374,19ème Ardt,Amérique
10113,Parmentier - HÃ´pital Saint-Louis,OUI,43,40,1,0,1,OUI,OUI,2023-06-05T08:25:37+02:00,"48.871379874257, 2.3698963836667",Paris,,FALSE,,48.871379874257,2.3698963836667,10ème Ardt,Hôpital-Saint-Louis
13014,Gare d'Austerlitz,OUI,14,5,6,1,5,OUI,OUI,2023-06-05T08:29:32+02:00,"48.842524, 2.364044",Paris,,FALSE,,48.842524,2.364044,13ème Ardt,Salpêtrière
41606,Pasteur - Gambetta,OUI,19,9,10,5,5,OUI,OUI,2023-06-05T08:28:54+02:00,"48.84572797384512, 2.4236011505126953",Saint-MandÃ©,,FALSE,,48.84572797384512,2.4236011505126953,Banlieue,Banlieue
12030,Charenton - Wattignies,OUI,33,30,1,0,1,OUI,OUI,2023-06-05T08:28:34+02:00,"48.83667579640627, 2.391795855555629",Paris,,FALSE,,48.83667579640627,2.391795855555629,12ème Ardt,Picpus
17045,Place des Ternes.,OUI,46,43,2,1,1,OUI,OUI,2023-06-05T08:28:48+02:00,"48.878438631226516, 2.297727763652802",Paris,,FALSE,,48.878438631226516,2.297727763652802,17ème Ardt,Ternes
42707,Place Jean-Baptiste ClÃ©ment,OUI,25,14,10,8,2,OUI,OUI,2023-06-05T08:22:23+02:00,"48.81240466867336, 2.3617091774940495",Le Kremlin-BicÃªtre,,FALSE,,48.81240466867336,2.3617091774940495,Banlieue,Banlieue
43402,Place de Verdun,OUI,40,17,21,19,2,OUI,OUI,2023-06-05T08:29:36+02:00,"48.8202823, 2.473775",Joinville-le-Pont,,FALSE,,48.8202823,2.473775,Banlieue,Banlieue
5119,Jussieu - Guy de la Brosse,OUI,40,16,23,21,2,OUI,OUI,2023-06-05T08:30:42+02:00,"48.845665, 2.355653",Paris,,FALSE,,48.845665,2.355653,5ème Ardt,Saint-Victor
12013,Montgallet - Reuilly,OUI,16,6,10,6,4,OUI,OUI,2023-06-05T08:30:19+02:00,"48.844291, 2.3896481",Paris,,FALSE,,48.844291,2.3896481,12ème Ardt,Picpus
27002,Parc Pierre LagravÃ¨re,OUI,30,8,21,13,8,OUI,OUI,2023-06-05T08:28:34+02:00,"48.92650488131725, 2.239069678491417",Colombes,,FALSE,,48.92650488131725,2.239069678491417,Banlieue,Banlieue
11115,Montreuil - Gonnet,OUI,24,17,4,2,2,OUI,OUI,2023-06-05T08:30:14+02:00,"48.850500564921, 2.3890856287864",Paris,,FALSE,,48.850500564921,2.3890856287864,11ème Ardt,Sainte-Marguerite
21109,Guichet - Jean JaurÃ¨s,OUI,28,27,0,0,0,OUI,OUI,2023-06-05T08:29:00+02:00,"48.905169868129036, 2.3023840785026555",Clichy,,FALSE,,48.905169868129036,2.3023840785026555,Banlieue,Banlieue
21305,Place Jacques Madaule,OUI,25,9,16,13,3,OUI,OUI,2023-06-05T08:30:39+02:00,"48.823933787309, 2.2606918215752",Issy-les-Moulineaux,,FALSE,,48.823933787309,2.2606918215752,Banlieue,Banlieue
20120,Evariste Galois,OUI,30,30,0,0,0,OUI,OUI,2023-06-05T08:29:53+02:00,"48.87308753734472, 2.4133380129933357",Paris,,FALSE,,48.87308753734472,2.4133380129933357,20ème Ardt,Saint-Fargeau
14021,Place de la Porte de ChÃ¢tillon,OUI,59,57,2,1,1,OUI,OUI,2023-06-05T08:27:08+02:00,"48.8242469, 2.3186306",Paris,,FALSE,,48.8242469,2.3186306,14ème Ardt,Petit-Montrouge
23701,Parvis Robert Schuman - Roger Salengro,OUI,24,20,3,1,2,OUI,OUI,2023-06-05T08:29:12+02:00,"48.812657470558754, 2.1921751275658607",Chaville,,FALSE,,48.812657470558754,2.1921751275658607,Banlieue,Banlieue
5021,Jussieu - FossÃ©s Saint-Bernard,OUI,39,3,33,30,3,OUI,OUI,2023-06-05T08:30:18+02:00,"48.84718551002347, 2.3534858599305153",Paris,,FALSE,,48.84718551002347,2.3534858599305153,5ème Ardt,Saint-Victor
21502,Verdun - Place Henri IV,OUI,26,9,16,9,7,OUI,OUI,2023-06-05T08:29:47+02:00,"48.870797375639214, 2.2277003154158592",Suresnes,,FALSE,,48.870797375639214,2.2277003154158592,Banlieue,Banlieue
8033,Commandant RiviÃ¨re,OUI,27,0,27,15,12,OUI,OUI,2023-06-05T08:27:47+02:00,"48.872933, 2.309796",Paris,,FALSE,,48.872933,2.309796,8ème Ardt,Faubourg-du-Roule
31012,Place Carnot,OUI,25,19,4,2,2,OUI,OUI,2023-06-05T08:30:03+02:00,"48.85593932186797, 2.441531717777252",Montreuil,,FALSE,,48.85593932186797,2.441531717777252,Banlieue,Banlieue
16121,Jardin d'Acclimatation,OUI,33,24,9,6,3,OUI,OUI,2023-06-05T08:27:01+02:00,"48.878772242510465, 2.270772233605385",Paris,,FALSE,,48.878772242510465,2.270772233605385,16ème Ardt,Porte-Dauphine
12024,Gare de Bercy,OUI,35,34,0,0,0,OUI,OUI,2023-06-05T08:30:33+02:00,"48.839794573906, 2.3826066032052",Paris,,FALSE,,48.839794573906,2.3826066032052,12ème Ardt,Bercy
41102,Gare de Laplace,OUI,43,41,2,2,0,OUI,OUI,2023-06-05T08:30:10+02:00,"48.80893199114179, 2.3349460959434514",Arcueil,,FALSE,,48.80893199114179,2.3349460959434514,Banlieue,Banlieue
16129,Ceinture du Lac Inferieure - Saint-Cloud,OUI,42,41,0,0,0,OUI,OUI,2023-06-05T08:28:52+02:00,"48.86218070933143, 2.2617871686816216",Paris,,FALSE,,48.86218070933143,2.2617871686816216,16ème Ardt,Muette
18141,Clignancourt - Sofia,OUI,19,18,1,1,0,OUI,OUI,2023-06-05T08:30:10+02:00,"48.88511992309783, 2.34719488842051",Paris,,FALSE,,48.88511992309783,2.34719488842051,18ème Ardt,Clignancourt
35019,Anatole France - Jean Lolive,OUI,28,25,2,0,2,OUI,OUI,2023-06-05T08:27:18+02:00,"48.8949922, 2.4253764",Pantin,,FALSE,,48.8949922,2.4253764,Banlieue,Banlieue
19004,Quai de la Loire - Jean JaurÃ¨s,OUI,16,14,1,1,0,OUI,OUI,2023-06-05T08:28:17+02:00,"48.88339733854529, 2.371074522980134",Paris,,FALSE,,48.88339733854529,2.371074522980134,19ème Ardt,Villette
20113,Piat - Parc de Belleville,OUI,21,20,0,0,0,OUI,OUI,2023-06-05T08:29:53+02:00,"48.87195626635528, 2.384981390278095",Paris,,FALSE,,48.87195626635528,2.384981390278095,20ème Ardt,Belleville
16124,Route de SÃ¨vres - Porte de Bagatelle,OUI,66,62,1,0,1,OUI,OUI,2023-06-05T08:28:21+02:00,"48.87525984132485, 2.249415814876557",Paris,,FALSE,,48.87525984132485,2.249415814876557,16ème Ardt,Muette
41604,Lagny - Joffre,OUI,31,5,26,18,8,OUI,OUI,2023-06-05T08:28:07+02:00,"48.84930687084088, 2.417949736118317",Saint-MandÃ©,,FALSE,,48.84930687084088,2.417949736118317,Banlieue,Banlieue
15010,Square Cambronne,OUI,59,59,0,0,0,NON,NON,2023-05-29T09:12:41+02:00,"48.84756654526, 2.3025691509247",Paris,,FALSE,,48.84756654526,2.3025691509247,15ème Ardt,Necker
15017,Place FalguiÃ¨re,OUI,23,23,0,0,0,OUI,OUI,2023-06-05T08:28:45+02:00,"48.83629973941847, 2.3104464635252953",Paris,,FALSE,,48.83629973941847,2.3104464635252953,15ème Ardt,Necker
20043,Charonne - Avron,OUI,27,24,0,0,0,OUI,OUI,2023-06-05T08:29:20+02:00,"48.85160266522164, 2.398403047037931",Paris,,FALSE,,48.85160266522164,2.398403047037931,20ème Ardt,Charonne
15029,Emeriau - Place de Brazzaville,OUI,51,33,16,15,1,OUI,OUI,2023-06-05T08:30:42+02:00,"48.850785261674964, 2.2871585190296173",Paris,,FALSE,,48.850785261674964,2.2871585190296173,15ème Ardt,Grenelle
7009,AssemblÃ©e Nationale,OUI,63,41,21,8,13,OUI,OUI,2023-06-05T08:30:16+02:00,"48.861411014652, 2.3201214185208",Paris,,FALSE,,48.861411014652,2.3201214185208,7ème Ardt,Invalides
17018,Parc Monceau,OUI,18,14,3,0,3,OUI,OUI,2023-06-05T08:29:54+02:00,"48.881077914129, 2.3095492646098",Paris,,FALSE,,48.881077914129,2.3095492646098,17ème Ardt,Plaine de Monceaux
22505,Mairie de La Garenne Colombes,OUI,22,15,5,2,3,OUI,OUI,2023-06-05T08:27:08+02:00,"48.90663823468682, 2.24679596722126",La Garenne-Colombes,,FALSE,,48.90663823468682,2.24679596722126,Banlieue,Banlieue
5116,Place Valhubert,OUI,37,30,6,5,1,OUI,OUI,2023-06-05T08:30:46+02:00,"48.844182577315, 2.3640366643667",Paris,,FALSE,,48.844182577315,2.3640366643667,5ème Ardt,Jardin-des-Plantes
13045,Jean Colly - Tolbiac,OUI,36,24,11,9,2,OUI,OUI,2023-06-05T08:28:05+02:00,"48.827817291597846, 2.3705490678548813",Paris,,FALSE,,48.827817291597846,2.3705490678548813,13ème Ardt,Gare
18005,Tardieu - Chappe,OUI,18,18,0,0,0,OUI,OUI,2023-06-05T08:29:29+02:00,"48.884146759782, 2.341845408082",Paris,,FALSE,,48.884146759782,2.341845408082,18ème Ardt,Clignancourt
14034,Ouest - ChÃ¢teau,OUI,23,21,1,1,0,OUI,OUI,2023-06-05T08:25:30+02:00,"48.83617286014242, 2.319392143923804",Paris,,FALSE,,48.83617286014242,2.319392143923804,14ème Ardt,Plaisance
13104,Gare d'Austerlitz - Quai Saint-Bernard,OUI,27,27,0,0,0,NON,NON,2022-01-18T22:07:57+01:00,"48.84369030864, 2.3657163977623",Paris,,FALSE,,48.84369030864,2.3657163977623,13ème Ardt,Salpêtrière
32010,Place aux Ã‰toiles,OUI,40,21,19,7,12,OUI,OUI,2023-06-05T08:29:48+02:00,"48.91835629408464, 2.3523425683379173",Saint-Denis,,FALSE,,48.91835629408464,2.3523425683379173,Banlieue,Banlieue
92004,Nanterre - UniversitÃ©,OUI,20,13,6,4,2,OUI,OUI,2023-06-05T08:30:26+02:00,"48.901365, 2.212693",Nanterre,,FALSE,,48.901365,2.212693,Banlieue,Banlieue
16018,Flandrin - Henri Martin,OUI,18,16,2,1,1,OUI,OUI,2023-06-05T08:29:31+02:00,"48.8643275, 2.2724174",Paris,,FALSE,,48.8643275,2.2724174,16ème Ardt,Porte-Dauphine
5026,Pascal - Claude Bernard,OUI,49,20,28,26,2,OUI,OUI,2023-06-05T08:30:59+02:00,"48.839061952159746, 2.3499782010912895",Paris,,FALSE,,48.839061952159746,2.3499782010912895,5ème Ardt,Jardin-des-Plantes
12034,Pirogues de Bercy - Libourne,OUI,49,28,21,14,7,OUI,OUI,2023-06-05T08:30:32+02:00,"48.832308, 2.38637",Paris,,FALSE,,48.832308,2.38637,12ème Ardt,Bercy
15028,Grenelle - Dr Finlay,OUI,71,41,27,23,4,OUI,OUI,2023-06-05T08:28:24+02:00,"48.851315406715976, 2.2919502854347233",Paris,,FALSE,,48.851315406715976,2.2919502854347233,15ème Ardt,Grenelle
15033,Place Violet,OUI,30,27,2,1,1,OUI,OUI,2023-06-05T08:30:51+02:00,"48.84487893836502, 2.2905756533145905",Paris,,FALSE,,48.84487893836502,2.2905756533145905,15ème Ardt,Grenelle
8102,Lamennais - Washington,OUI,26,2,23,9,14,OUI,OUI,2023-06-05T08:26:55+02:00,"48.87352990026496, 2.303444892168045",Paris,,FALSE,,48.87352990026496,2.303444892168045,8ème Ardt,Faubourg-du-Roule
24002,Gare de Courbevoie,OUI,35,30,5,4,1,OUI,OUI,2023-06-05T08:27:05+02:00,"48.8993867, 2.2506506",Courbevoie,,FALSE,,48.8993867,2.2506506,Banlieue,Banlieue
8012,Batignolles - Place de Clichy,OUI,47,45,1,1,0,OUI,OUI,2023-06-05T08:28:56+02:00,"48.88347453575669, 2.326493114233017",Paris,,FALSE,,48.88347453575669,2.326493114233017,17ème Ardt,Batignolles
16034,Porte d'Auteuil,OUI,33,24,7,4,3,OUI,OUI,2023-06-05T08:29:54+02:00,"48.8479394142243, 2.2608396783471107",Paris,,FALSE,,48.8479394142243,2.2608396783471107,16ème Ardt,Auteuil
14018,Porte d'OrlÃ©ans,OUI,48,38,8,7,1,OUI,OUI,2023-06-05T08:30:51+02:00,"48.8227639, 2.3249313",Paris,,FALSE,,48.8227639,2.3249313,14ème Ardt,Petit-Montrouge
20119,Square des Saint-Simoniens,OUI,25,24,0,0,0,OUI,OUI,2023-06-05T08:27:31+02:00,"48.8701796, 2.3967273",Paris,,FALSE,,48.8701796,2.3967273,20ème Ardt,Saint-Fargeau
31702,Pierre et Marie Curie - Julien Grimau,OUI,18,16,2,0,2,OUI,OUI,2023-06-05T08:29:10+02:00,"48.870714014863225, 2.424097023904324",Bagnolet,,FALSE,,48.870714014863225,2.424097023904324,Banlieue,Banlieue
21403,Gare de Clamart,OUI,14,14,0,0,0,OUI,OUI,2023-06-05T08:23:50+02:00,"48.81383535598703, 2.272278964519501",Clamart,,FALSE,,48.81383535598703,2.272278964519501,Banlieue,Banlieue
21013,Pierre Grenier - Pont de Billancourt,OUI,21,18,3,3,0,OUI,OUI,2023-06-05T08:29:47+02:00,"48.8258020742942, 2.2487989068031315",Boulogne-Billancourt,,FALSE,,48.8258020742942,2.2487989068031315,Banlieue,Banlieue
42207,Place des Marseillais,OUI,37,2,30,24,6,OUI,OUI,2023-06-05T08:30:12+02:00,"48.82663907252554, 2.4059280753135686",Charenton-le-Pont,,FALSE,,48.82663907252554,2.4059280753135686,Banlieue,Banlieue
42503,Vladimir Ilitch LÃ©nine - AndrÃ©e Chedid,OUI,31,29,1,0,1,OUI,OUI,2023-06-05T08:27:00+02:00,"48.813240124373, 2.3319716067039",Gentilly,,FALSE,,48.813240124373,2.3319716067039,Banlieue,Banlieue
